"id","category","difficulty","prompt","correct_answer","original_answer_a","original_answer_b","original_answer_c","original_answer_d","proposed_answer_a","proposed_answer_b","proposed_answer_c","proposed_answer_d","changed_distractor_count","original_answer_lengths","proposed_answer_lengths","original_correct_length_rank","proposed_correct_length_rank","tier_original_pick_longest_rate","tier_proposed_pick_longest_rate","tier_largest_remaining_length_rank_signal","scope_rule","review_status","review_note"
"animals-hard-1","Animals","Hard","Which animal is famous for reversing from its adult medusa stage to a juvenile polyp stage?","Turritopsis dohrnii, a jellyfish","Turritopsis dohrnii, a jellyfish","The Greenland shark","The bowhead whale","The giant tortoise","Turritopsis dohrnii, a jellyfish","The Greenland shark","Balaena mysticetus, the bowhead whale","The giant tortoise","1","32/19/17/18","32/19/37/18","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-10","Animals","Hard","What is 'brood parasitism'?","Laying eggs in another species' nest","Laying eggs in another species' nest","Eating one's own young","Parasites living on nestlings","Sharing a nest cooperatively","Laying eggs in another species' nest","Eating one's own young","Living as a parasite on newly hatched nestlings","Sharing a nest cooperatively","1","36/22/29/28","36/22/47/28","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-13","Animals","Hard","What is the function of a cephalopod's chromatophores?","Rapid colour and pattern change","Rapid colour and pattern change","Producing ink","Jet propulsion","Detecting light","Rapid colour and pattern change","Releasing a cloud of defensive ink into the water","Driving water through the siphon for propulsion","Detecting light","2","31/13/14/15","31/49/47/15","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-15","Animals","Hard","What is 'aposematism'?","Warning coloration signalling that prey is dangerous","Warning coloration signalling that prey is dangerous","Camouflage","Mimicking a mate","Playing dead","Warning coloration signalling that prey is dangerous","Blending an animal's outline into its surrounding habitat","Mimicking a mate","Remaining motionless to resemble an animal that has died","2","52/10/16/12","52/57/16/56","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-17","Animals","Hard","What is 'Batesian mimicry'?","A harmless species imitating a dangerous one","A harmless species imitating a dangerous one","Two toxic species converging","Camouflage against a background","Mimicking a predator's call","A harmless species imitating a dangerous one","Two dangerous species evolving the same warning pattern","An animal matching the colour and texture of its habitat","An animal copying the alarm call made by its predator","3","44/28/31/27","44/55/56/53","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-18","Animals","Hard","What is the purpose of a whale's baleen?","Filtering small prey from seawater","Filtering small prey from seawater","Crushing shells","Producing sound","Storing oxygen","Filtering small prey from seawater","Crushing hard-shelled prey before it is swallowed","Producing low-frequency calls heard across long distances","Storing extra oxygen for dives beneath the ocean surface","3","34/15/15/14","34/49/57/56","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-19","Animals","Hard","Which animals form the class Chondrichthyes?","Cartilaginous fish such as sharks and rays","Cartilaginous fish such as sharks and rays","Bony fish","Amphibians","Marine mammals","Cartilaginous fish such as sharks and rays","Ray-finned and lobe-finned fish with skeletons made of bone","Frogs, salamanders, and caecilians with aquatic larvae","Whales, seals, and sirenians that spend their lives in water","3","42/9/10/14","42/59/54/60","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-20","Animals","Hard","What is 'diapause' in insects?","A suspended development state during harsh conditions","A suspended development state during harsh conditions","A mating ritual","A moulting stage","A migration phase","A suspended development state during harsh conditions","An elaborate courtship display performed before insects mate","A transitional stage in which a larva sheds its outer covering","A seasonal movement from one habitat to another for reproduction","3","53/15/16/17","53/60/62/64","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-22","Animals","Hard","What is 'countershading'?","Dark above and light below to reduce visibility","Dark above and light below to reduce visibility","Bright warning colours","Seasonal coat change","Iridescent patterning","Dark above and light below to reduce visibility","Bright warning colours","Replacing a coat or plumage to match a different season","Iridescent patterning","1","47/22/20/21","47/22/55/21","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-24","Animals","Hard","What is a 'ruminant'?","An animal that ferments food in a multi-chambered stomach","An animal that ferments food in a multi-chambered stomach","A nocturnal grazer","A burrowing herbivore","An egg-laying mammal","An animal that ferments food in a multi-chambered stomach","An animal that feeds mainly at night on grasses and other plants","A herbivore adapted to dig extensive tunnels below the ground","A mammal that reproduces by laying eggs instead of bearing live young","3","57/18/21/20","57/64/61/69","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
